INSTNM,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,C150_4,REGION
Pennsylvania State University-Penn State Fayette- Eberly,Lemont Furnace,PA,15456-1025,39.946455,-79.659317,0.3352,2
Pennsylvania State University-Penn State Hazleton,Hazleton,PA,18202-8025,40.98396,-76.030975,0.1791,2
Pennsylvania State University-Main Campus,University Park,PA,16802-1503,40.7965,-77.862848,0.8568,2
Pennsylvania State University-Penn State Greater Allegheny,McKeesport,PA,15132-7644,40.345591,-79.827428,0.2743,2
Pennsylvania State University-Penn State Mont Alto,Mont Alto,PA,17237-9700,39.842212,-77.541797,0.2512,2
Pennsylvania State University-Penn State Abington,Abington,PA,19001-3918,40.117101,-75.110724,0.2222,2
Pennsylvania State University-Penn State Schuylkill,Schuylkill Haven,PA,17972-2202,40.640512,-76.166374,0.2069,2
Pennsylvania State University-Penn State York,York,PA,17403-3326,39.95283,-76.703486,0.1143,2
Peirce College,Philadelphia,PA,19103-5443,39.949623,-75.168105,0.0526,2
Pennsylvania Academy of the Fine Arts,Philadelphia,PA,19102-1510,39.955692,-75.163456,0.6757,2
Pennsylvania College of Art and Design,Lancaster,PA,17608-0059,40.041152,-76.308769,0.6377,2
University of Pennsylvania,Philadelphia,PA,19104-6303,39.950929,-75.19391,0.9681,2
University of the Arts,Philadelphia,PA,19102-4901,39.946017,-75.165888,0.6919,2
Cairn University-Langhorne,Langhorne,PA,19047-2990,40.165809,-74.909509,0.6516,2
University of Pittsburgh-Bradford,Bradford,PA,16701,41.943415,-78.673701,0.4344,2
University of Pittsburgh-Greensburg,Greensburg,PA,15601-5860,40.276447,-79.532676,0.3963,2
University of Pittsburgh-Johnstown,Johnstown,PA,15904,40.265957,-78.834163,0.5345,2
University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,15260,40.444388,-79.953254,0.8434,2
Pittsburgh Technical College,Oakdale,PA,15071,40.424679,-80.189404,0.5309,2
Point Park University,Pittsburgh,PA,15222-1984,40.438768,-80.002061,0.5956,2
Walnut Hill College,Philadelphia,PA,19104,39.955098,-75.20749,0.6,2
Robert Morris University,Moon Township,PA,15108-1189,40.520415,-80.210468,0.6555,2
Rosemont College,Rosemont,PA,19010-1699,40.033417,-75.32925,0.4348,2
Saint Francis University,Loretto,PA,15940,40.506734,-78.63904,0.7275,2
Saint Joseph's University,Philadelphia,PA,19131-1395,39.994442,-75.238343,0.7983,2
Saint Vincent College,Latrobe,PA,15650-2690,40.29265,-79.403762,0.7215,2
University of Scranton,Scranton,PA,18510-4699,41.406556,-75.656915,0.808,2
Seton Hill University,Greensburg,PA,15601,40.309407,-79.557433,0.7099,2
Shippensburg University of Pennsylvania,Shippensburg,PA,17257-2299,40.057933,-77.522335,0.5161,2
Slippery Rock University of Pennsylvania,Slippery Rock,PA,16057-1383,41.062719,-80.045965,0.6591,2
Saint Charles Borromeo Seminary-Overbrook,Wynnewood,PA,19096,39.99133,-75.255675,0.4444,2
Susquehanna University,Selinsgrove,PA,17870-1025,40.797502,-76.875329,0.7409,2
Swarthmore College,Swarthmore,PA,19081,39.905159,-75.354278,0.9413,2
Talmudical Yeshiva of Philadelphia,Philadelphia,PA,19131,39.989249,-75.247964,0.8158,2
Temple University,Philadelphia,PA,19122-6096,39.980546,-75.156859,0.7468,2
Thiel College,Greenville,PA,16125-2181,41.41354,-80.384383,0.4355,2
Thomas Jefferson University,Philadelphia,PA,19107,39.948274,-75.158266,0.6819,2
Ursinus College,Collegeville,PA,19426-1000,40.193023,-75.456505,0.7662,2
University of Valley Forge,Phoenixville,PA,19460-2373,40.117835,-75.5469,0.5612,2
Villanova University,Villanova,PA,19085-1699,40.036463,-75.340502,0.9241,2
Washington & Jefferson College,Washington,PA,15301,40.170622,-80.24049,0.7139,2
Waynesburg University,Waynesburg,PA,15370-1257,39.899871,-80.186205,0.605,2
West Chester University of Pennsylvania,West Chester,PA,19383,39.953398,-75.59812,0.698,2
Westminster College,New Wilmington,PA,16172,41.119272,-80.331017,0.6586,2
Widener University,Chester,PA,19013-5792,39.861689,-75.355363,0.6351,2
Wilkes University,Wilkes-Barre,PA,18766,41.244199,-75.890262,0.6034,2
Wilson College,Chambersburg,PA,17201-1285,39.949659,-77.650712,0.5183,2
Yeshivath Beth Moshe,Scranton,PA,18505-2196,41.394852,-75.656191,0.75,2
York College of Pennsylvania,York,PA,17403-3651,39.94614,-76.727984,0.5974,2
Brown University,Providence,RI,02912,41.82617,-71.40385,0.9595,1
Bryant University,Smithfield,RI,02917-1291,41.920092,-71.539547,0.8061,1
Johnson & Wales University-Providence,Providence,RI,02903-3703,41.819956,-71.41277,0.5488,1
New England Institute of Technology,East Greenwich,RI,02818-1205,41.661783,-71.502892,0.5747,1
Providence College,Providence,RI,02918-0001,41.842742,-71.437446,0.8785,1
Rhode Island College,Providence,RI,02908,41.842415,-71.46556,0.4618,1
University of Rhode Island,Kingston,RI,02881,41.484691,-71.527356,0.7103,1
Rhode Island School of Design,Providence,RI,02903-2784,41.827114,-71.409309,0.8847,1
Roger Williams University,Bristol,RI,02809-2921,41.650214,-71.260374,0.6661,1
Salve Regina University,Newport,RI,02840-4192,41.471545,-71.30124,0.7492,1
Northpoint Bible College,Haverhill,MA,01835,42.765357,-71.079335,0.5085,1
Allen University,Columbia,SC,29204,34.010348,-81.020045,0.1323,5
Anderson University,Anderson,SC,29621-4035,34.5152,-82.640358,0.7099,5
Charleston Southern University,Charleston,SC,29406-9121,32.983047,-80.072587,0.4858,5
Benedict College,Columbia,SC,29204-1086,34.012941,-81.020403,0.2115,5
Bob Jones University,Greenville,SC,29614-0001,34.874016,-82.365838,0.6961,5
Southern Wesleyan University,Central,SC,29630-1020,34.728068,-82.761586,0.5202,5
College of Charleston,Charleston,SC,29424-0001,32.784225,-79.939794,0.6498,5
Citadel Military College of South Carolina,Charleston,SC,29409,32.797183,-79.958775,0.7282,5
Claflin University,Orangeburg,SC,29115-4498,33.498444,-80.854319,0.4913,5
Clemson University,Clemson,SC,29634,34.679381,-82.835114,0.879,5
Clinton College,Rock Hill,SC,29730,34.913721,-81.043469,0.1111,5
Coker University,Hartsville,SC,29550,34.37696,-80.070416,0.3462,5
Columbia International University,Columbia,SC,29203-1513,34.07551,-81.07443,0.6552,5
Columbia College,Columbia,SC,29203,34.045581,-81.029967,0.5346,5
Converse University,Spartanburg,SC,29302-0006,34.955534,-81.917881,0.471,5
Erskine College,Due West,SC,29639,34.332087,-82.39095,0.4859,5
Francis Marion University,Florence,SC,29506,34.189777,-79.652854,0.4273,5
Furman University,Greenville,SC,29613-6162,34.924676,-82.440458,0.8149,5
Greenville Technical College,Greenville,SC,29606,34.826212,-82.371178,0.1759,5
Lander University,Greenwood,SC,29649-2099,34.199892,-82.164736,0.4876,5
Limestone University,Gaffney,SC,29340-3799,35.057076,-81.649161,0.2757,5
Morris College,Sumter,SC,29150-3599,33.938574,-80.346155,0.2043,5
Newberry College,Newberry,SC,29108,34.285868,-81.619777,0.4438,5
North Greenville University,Tigerville,SC,29688-1892,35.069758,-82.37026,0.5491,5
Presbyterian College,Clinton,SC,29325,34.465834,-81.87448,0.619,5
University of South Carolina Aiken,Aiken,SC,29801,33.572704,-81.767612,0.4011,5
University of South Carolina Beaufort,Bluffton,SC,29909,32.303308,-80.973595,0.3859,5
University of South Carolina-Columbia,Columbia,SC,29208,33.996788,-81.026935,0.7775,5
