INSTNM,CITY,STABBR,TUITIONFEE_IN,TUITIONFEE_OUT,GraduationRate
San Francisco Conservatory of Music,San Francisco,CA,54550.0,54550.0,0.5246
San Francisco State University,San Francisco,CA,7424.0,19304.0,0.5015
University of San Francisco,San Francisco,CA,58222.0,58222.0,0.7113
William Jessup University,Rocklin,CA,37150.0,37150.0,0.6071
San Jose State University,San Jose,CA,7992.0,19872.0,0.6465
Santa Clara University,Santa Clara,CA,59241.0,59241.0,0.8845
Santa Monica College,Santa Monica,CA,1156.0,9316.0,0.3583
Scripps College,Claremont,CA,63434.0,63434.0,0.8712
Shasta Bible College and Graduate School,Redding,CA,14535.0,14535.0,0.3333
Shasta College,Redding,CA,1197.0,8277.0,0.2913
Simpson University,Redding,CA,38522.0,38522.0,0.4167
Skyline College,San Bruno,CA,1332.0,11384.0,0.4141
Saint Mary's College of California,Moraga,CA,56134.0,56134.0,0.6899
Solano Community College,Fairfield,CA,1172.0,8900.0,0.3377
Sonoma State University,Rohnert Park,CA,8190.0,20070.0,0.6052
Vanguard University of Southern California,Costa Mesa,CA,39950.0,39950.0,0.5586
Southern California Institute of Architecture,Los Angeles,CA,53564.0,53564.0,0.7
University of Southern California,Los Angeles,CA,68237.0,68237.0,0.9199
Thomas Aquinas College,Santa Paula,CA,28700.0,28700.0,0.8202
Epic Bible College & Graduate School,Sacramento,CA,15072.0,15072.0,0.0
Walden University,Minneapolis,MN,12498.0,12498.0,0.0
West Los Angeles College,Culver City,CA,1238.0,10130.0,0.2138
Westmont College,Santa Barbara,CA,51790.0,51790.0,0.7009
Whittier College,Whittier,CA,49864.0,49864.0,0.6339
Woodbury University,Burbank,CA,44886.0,44886.0,0.5478
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA,16900.0,16900.0,0.2
Adams State University,Alamosa,CO,9776.0,21848.0,0.3165
Aims Community College,Greeley,CO,2090.0,11306.0,0.3507
Arapahoe Community College,Littleton,CO,4308.0,16542.0,0.2679
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,10017.0,28209.0,0.474
University of Colorado Colorado Springs,Colorado Springs,CO,9712.0,20492.0,0.4534
University of Colorado Boulder,Boulder,CO,16430.0,41943.0,0.7503
Colorado Christian University,Lakewood,CO,39266.0,39266.0,0.5532
Colorado College,Colorado Springs,CO,67932.0,67932.0,0.86
Colorado Mountain College,Glenwood Springs,CO,2700.0,12540.0,0.259
Colorado School of Mines,Golden,CO,21186.0,44376.0,0.7944
Colorado State University-Fort Collins,Fort Collins,CO,12896.0,33751.0,0.6691
Colorado Technical University-Colorado Springs,Colorado Springs,CO,12760.0,12760.0,0.1761
Community College of Denver,Denver,CO,4902.0,17136.0,0.1579
University of Denver,Denver,CO,59340.0,59340.0,0.7795
Fort Lewis College,Durango,CO,9670.0,20798.0,0.4315
Front Range Community College,Westminster,CO,4740.0,16974.0,0.301
Colorado Mesa University,Grand Junction,CO,9712.0,24312.0,0.4152
Metropolitan State University of Denver,Denver,CO,10780.0,29503.0,0.2989
Morgan Community College,Fort  Morgan,CO,4127.0,16360.0,0.4607
Naropa University,Boulder,CO,34600.0,34600.0,0.4595
University of Northern Colorado,Greeley,CO,12010.0,26204.0,0.5134
Pikes Peak State College,Colorado Springs,CO,4302.0,16534.0,0.23
Pueblo Community College,Pueblo,CO,4883.0,17116.0,0.3746
Red Rocks Community College,Lakewood,CO,4707.0,16947.0,0.3737
Regis University,Denver,CO,43980.0,43980.0,0.6111
Rocky Mountain College of Art and Design,Lakewood,CO,23720.0,23720.0,0.3651
Colorado State University Pueblo,Pueblo,CO,9401.0,17242.0,0.3798
Trinidad State College,Trinidad,CO,4468.0,7100.0,0.5572
Western Colorado University,Gunnison,CO,11083.0,23683.0,0.5067
Albertus Magnus College,New Haven,CT,39924.0,39924.0,0.4609
Bais Binyomin Academy,Monsey,NY,9450.0,9450.0,0.5714
